hardware,task,layer,kv_head,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro
v100,dureader,18,0,75,14,0,7,96,96,75,82,14,0.0,0.08536585365853659,1.0,0.9146341463414634,0.78125
v100,dureader,18,1,67,19,0,10,96,96,67,77,19,0.0,0.12987012987012986,1.0,0.8701298701298701,0.6979166666666666
v100,dureader,18,2,73,17,0,6,96,96,73,79,17,0.0,0.0759493670886076,1.0,0.9240506329113924,0.7604166666666666
v100,dureader,18,3,81,14,0,1,96,96,81,82,14,0.0,0.012195121951219513,1.0,0.9878048780487805,0.84375
v100,dureader,18,4,40,30,0,26,96,96,40,66,30,0.0,0.3939393939393939,1.0,0.6060606060606061,0.4166666666666667
v100,dureader,18,5,50,25,0,21,96,96,50,71,25,0.0,0.29577464788732394,1.0,0.704225352112676,0.5208333333333334
v100,dureader,18,6,62,19,0,15,96,96,62,77,19,0.0,0.19480519480519481,1.0,0.8051948051948052,0.6458333333333334
v100,dureader,18,7,48,29,0,19,96,96,48,67,29,0.0,0.2835820895522388,1.0,0.7164179104477612,0.5
v100,dureader,19,0,69,17,0,10,96,96,69,79,17,0.0,0.12658227848101267,1.0,0.8734177215189873,0.71875
v100,dureader,19,1,54,22,0,20,96,96,54,74,22,0.0,0.2702702702702703,1.0,0.7297297297297297,0.5625
v100,dureader,19,2,70,16,0,10,96,96,70,80,16,0.0,0.125,1.0,0.875,0.7291666666666666
v100,dureader,19,3,63,19,1,13,96,96,64,76,20,0.05,0.17105263157894737,0.984375,0.8289473684210527,0.6666666666666666
v100,dureader,19,4,64,17,0,15,96,96,64,79,17,0.0,0.189873417721519,1.0,0.810126582278481,0.6666666666666666
v100,dureader,19,5,52,23,0,21,96,96,52,73,23,0.0,0.2876712328767123,1.0,0.7123287671232876,0.5416666666666666
v100,dureader,19,6,44,23,0,29,96,96,44,73,23,0.0,0.3972602739726027,1.0,0.6027397260273972,0.4583333333333333
v100,dureader,19,7,83,13,0,0,96,96,83,83,13,0.0,0.0,1.0,1.0,0.8645833333333334
v100,dureader,2,0,48,27,0,21,96,96,48,69,27,0.0,0.30434782608695654,1.0,0.6956521739130435,0.5
v100,dureader,2,1,77,16,0,3,96,96,77,80,16,0.0,0.0375,1.0,0.9625,0.8020833333333334
v100,dureader,2,2,68,19,0,9,96,96,68,77,19,0.0,0.11688311688311688,1.0,0.8831168831168831,0.7083333333333334
v100,dureader,2,3,84,12,0,0,96,96,84,84,12,0.0,0.0,1.0,1.0,0.875
v100,dureader,2,4,75,18,0,3,96,96,75,78,18,0.0,0.038461538461538464,1.0,0.9615384615384616,0.78125
v100,dureader,2,5,84,12,0,0,96,96,84,84,12,0.0,0.0,1.0,1.0,0.875
v100,dureader,2,6,84,12,0,0,96,96,84,84,12,0.0,0.0,1.0,1.0,0.875
