task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,min,max,std
dureader,prefill,v,21,1,bucketlast,relative_candidate_benefit,26,0.783954416889685,0.581873344331614,0.8993818254448769,0.08038434738977958
dureader,prefill,v,21,1,bucketmiddle,relative_candidate_benefit,38,0.7504037814555101,0.16443449415636757,0.9402088136897014,0.14564010715489595
dureader,prefill,v,21,2,bucketfirst,relative_candidate_benefit,29,-10.77721970903403,-33.83942593375409,0.7541603599443883,13.974024651023347
dureader,prefill,v,21,2,bucketlast,relative_candidate_benefit,34,0.6012982313313515,0.08380989766237935,0.9060046949395882,0.1622003832478861
dureader,prefill,v,21,2,bucketmiddle,relative_candidate_benefit,33,0.5803814200397714,0.1364183005212314,0.8058310228717556,0.1674961740801099
dureader,prefill,v,21,3,bucketfirst,relative_candidate_benefit,38,-0.5291364170576728,-10.45369849774217,0.8017188428635876,1.90723137079237
dureader,prefill,v,21,3,bucketlast,relative_candidate_benefit,25,0.3456385660838979,-0.16591416835925354,0.799475279508327,0.2481260299067135
dureader,prefill,v,21,3,bucketmiddle,relative_candidate_benefit,33,0.30778720140565435,-0.4104773429341852,0.8487495277645555,0.3261137103835025
dureader,prefill,v,21,4,bucketfirst,relative_candidate_benefit,31,-6.8500017867238405,-23.108758621016744,0.923202418375994,9.660308623294688
dureader,prefill,v,21,4,bucketlast,relative_candidate_benefit,31,0.6737297874594225,0.31742501179048543,0.8926388379987272,0.15509554087232533
dureader,prefill,v,21,4,bucketmiddle,relative_candidate_benefit,34,0.6546484323664012,-0.2585805095436821,0.8887228545161676,0.2539588859281489
dureader,prefill,v,21,5,bucketfirst,relative_candidate_benefit,34,-7.225938874816203,-35.05478088473059,0.9634563417110618,10.732207528844304
dureader,prefill,v,21,5,bucketlast,relative_candidate_benefit,35,0.24578742413137594,-0.16150302128385735,0.717915462734462,0.22720433616231148
dureader,prefill,v,21,5,bucketmiddle,relative_candidate_benefit,27,0.1926128577726176,-0.12555453944044137,0.6582079098887615,0.19682258422265717
dureader,prefill,v,21,6,bucketfirst,relative_candidate_benefit,31,-3.954993045702682,-56.04252445373829,0.5840857940706441,10.049419523249954
dureader,prefill,v,21,6,bucketlast,relative_candidate_benefit,32,0.12670612697480374,-0.2753342701879018,0.5900478383508388,0.2054662950381938
dureader,prefill,v,21,6,bucketmiddle,relative_candidate_benefit,33,0.1993150736042642,-0.32331092782614557,0.604738867667931,0.21259475571016448
dureader,prefill,v,21,7,bucketfirst,relative_candidate_benefit,34,-9.688439150760129,-63.33942124942299,0.7566065593036967,15.81484678001993
dureader,prefill,v,21,7,bucketlast,relative_candidate_benefit,36,0.16080279657254443,-0.3678928603822338,0.7662305946064758,0.2470052510527611
dureader,prefill,v,21,7,bucketmiddle,relative_candidate_benefit,26,0.26571363775557244,-0.18368073327610718,0.8435249322992999,0.3029876333372807
dureader,prefill,v,22,0,bucketfirst,relative_candidate_benefit,31,-21.952169328805557,-94.31324070630936,0.5396784447472187,29.32207777156559
dureader,prefill,v,22,0,bucketlast,relative_candidate_benefit,30,0.006449461673233288,-0.3835351278869346,0.5356263233599222,0.22369799651743805
dureader,prefill,v,22,0,bucketmiddle,relative_candidate_benefit,35,0.17328040233564862,-0.1903146849851954,0.6615430919438747,0.20351975127122995
dureader,prefill,v,22,1,bucketfirst,relative_candidate_benefit,33,-25.33651637894397,-102.49226247736502,0.8193010944752994,35.453838719645
dureader,prefill,v,22,1,bucketlast,relative_candidate_benefit,32,0.5112406486048889,0.08162431914439842,0.8456504570289487,0.18315289474828916
dureader,prefill,v,22,1,bucketmiddle,relative_candidate_benefit,31,0.5321930136289332,-0.25887720442944184,0.8787243200020722,0.256085276132544
dureader,prefill,v,22,2,bucketfirst,relative_candidate_benefit,32,-3.276159040190824,-23.417273550627215,0.7749401839275349,5.758082923158476
dureader,prefill,v,22,2,bucketlast,relative_candidate_benefit,36,0.2934108105039472,-0.3887850111322131,0.7246744831397117,0.22305654966526728
dureader,prefill,v,22,2,bucketmiddle,relative_candidate_benefit,28,0.32575317578969815,-0.08590517805348769,0.7790892414602957,0.21647454034903646
dureader,prefill,v,22,3,bucketfirst,relative_candidate_benefit,31,-4.02357337537251,-26.539403832460945,0.6019898938194937,6.278274183102643
dureader,prefill,v,22,3,bucketlast,relative_candidate_benefit,32,0.1793281537222526,-0.34165762233114644,0.5944437313282364,0.222496063344984
dureader,prefill,v,22,3,bucketmiddle,relative_candidate_benefit,33,0.27385109644322253,-0.3610049863001743,0.9412837443364145,0.27193181693852403
dureader,prefill,v,22,4,bucketfirst,relative_candidate_benefit,36,-1.429109928508294,-10.951491886782167,0.7356363626755476,2.7733983586122797
dureader,prefill,v,22,4,bucketlast,relative_candidate_benefit,27,0.34420734726355556,-0.23105138227954622,0.5876542458769815,0.1924574148728152
dureader,prefill,v,22,4,bucketmiddle,relative_candidate_benefit,33,0.32541713520642684,-0.4722895341858444,0.8089687456369744,0.25875203958254656
dureader,prefill,v,22,5,bucketfirst,relative_candidate_benefit,32,-22.835138212355982,-93.6865770785578,0.8605464321532502,31.76020658422009
dureader,prefill,v,22,5,bucketlast,relative_candidate_benefit,34,0.3817927600647,-0.16844191069229278,0.8994219580319549,0.2695255868142726
dureader,prefill,v,22,5,bucketmiddle,relative_candidate_benefit,30,0.4327458344566273,-0.15049032945963678,0.9414703579347027,0.3183661095458141
dureader,prefill,v,22,6,bucketfirst,relative_candidate_benefit,35,-2.2716707940250824,-17.60142240482751,0.7711458066056719,4.081981867189325
dureader,prefill,v,22,6,bucketlast,relative_candidate_benefit,23,0.29253378342188413,-0.2398480651433429,0.6803956182008087,0.23278205035728966
dureader,prefill,v,22,6,bucketmiddle,relative_candidate_benefit,38,0.30109606524103194,-0.9369572232360541,0.7797653555575899,0.3162875599054253
dureader,prefill,v,22,7,bucketfirst,relative_candidate_benefit,32,-8.562665401020437,-35.916388472172855,0.940158105640664,11.953507633689794
dureader,prefill,v,22,7,bucketlast,relative_candidate_benefit,23,0.10507984853016197,-0.3479778191805325,0.5582222358379824,0.19918734076701117
dureader,prefill,v,22,7,bucketmiddle,relative_candidate_benefit,41,0.13885489224599987,-0.6773503458206993,0.8778662249449932,0.26051193389621186
