context_tokens,decode_tokens,capacity_backend,round,seed,backend,prefill_ms,cache_setup_ms,decode_total_ms,mean_tpot_ms,median_tpot_ms,p90_tpot_ms,p95_tpot_ms,tokens_per_sec,peak_allocated_bytes,peak_reserved_bytes,mixed_v_fused_calls,mixed_v_reference_calls,selector_calls,importance_update_calls,pack_calls,cache_concat_events,cache_concat_bytes,largest_cache_concat_bytes,profile_enabled
32768,128,baseline,0,53336653,fused,57.22141498699784,57.22141498699784,15154.579444885254,118.39515191316605,116.2163200378418,116.79743957519531,118.614013671875,8.446291793547635,17857792000,17869832192,4096,0,0,0,0,0,0,0,False
32768,128,baseline,1,53336654,fused,60.16263389028609,60.16263389028609,14852.721626281738,116.03688770532608,113.4919662475586,116.17791748046875,116.94489288330078,8.61794916922871,17857792000,17869832192,4096,0,0,0,0,0,0,0,False
32768,128,baseline,2,53336655,fused,57.51741002313793,57.51741002313793,14588.605438232422,113.9734799861908,111.55967712402344,112.66252899169922,113.71929931640625,8.77397092833492,17857792000,17869832192,4096,0,0,0,0,0,0,0,False
32768,128,baseline,3,53336656,fused,57.671330170705914,57.671330170705914,14686.094337463379,114.73511201143265,111.69535827636719,115.05868530273438,117.46713256835938,8.715727752985993,17857792000,17869832192,4096,0,0,0,0,0,0,0,False
32768,128,baseline,4,53336657,fused,57.904216926544905,57.904216926544905,14616.733695983887,114.19323199987411,111.73324584960938,112.89190673828125,115.97721862792969,8.75708640947392,17857792000,17869832192,4096,0,0,0,0,0,0,0,False
32768,128,fixed_capacity,0,53336653,fused,82.510159118101,82.510159118101,13582.219245910645,106.11108785867691,103.4332160949707,107.5066909790039,108.8358383178711,9.424085834760652,17915584000,17945329664,4096,0,0,0,0,0,0,0,False
32768,128,fixed_capacity,1,53336654,fused,82.75701594538987,82.75701594538987,13513.466918945312,105.57396030426025,103.24991989135742,104.3947525024414,107.22201538085938,9.47203265955011,17915584000,17945329664,4096,0,0,0,0,0,0,0,False
32768,128,fixed_capacity,2,53336655,fused,82.05971983261406,82.05971983261406,13445.88900756836,105.04600787162781,102.94374465942383,104.05785369873047,105.23750305175781,9.519638301933918,17915584000,17945329664,4096,0,0,0,0,0,0,0,False
32768,128,fixed_capacity,3,53336656,fused,82.13660190813243,82.13660190813243,13464.994834899902,105.19527214765549,103.13113784790039,104.10291290283203,104.66508483886719,9.506130642414876,17915584000,17945329664,4096,0,0,0,0,0,0,0,False
32768,128,fixed_capacity,4,53336657,fused,82.39374007098377,82.39374007098377,13541.622772216797,105.79392790794373,103.2063980102539,104.06092834472656,105.62662506103516,9.452338331460261,17915584000,17945329664,4096,0,0,0,0,0,0,0,False
