component,calls,calls_per_generated_token,total_us,mean_us,percent_decode_time,tokens,bytes,context_tokens,decode_tokens,backend,profile_on_tpot_ms,profile_on_shares_approximate
value_fp16_tail,12256,95.75,1281544.6085706353,104.56467106483643,7.118182650172999,849920,0,16384,128,chunked_capacity,140.65482366085052,True
attention_score_concat,4096,32.0,236781.5704299137,57.80800059324065,1.208589470051324,134481920,0,32768,128,baseline,153.0590878725052,True
attention_softmax,4096,32.0,189869.05768886209,46.354750412319845,0.9691368436938774,134481920,0,32768,128,baseline,153.0590878725052,True
cache_append,4096,32.0,2582944.7393119335,630.6017429960775,13.183964478269562,0,0,32768,128,baseline,153.0590878725052,True
cache_cat_events,16672,130.25,0.0,0.0,0.0,0,4099469312,32768,128,baseline,153.0590878725052,True
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,9400320,32768,128,baseline,153.0590878725052,True
cache_mutation,16672,130.25,524421.4426409453,31.455220887772633,2.676771812494486,0,4099469312,32768,128,baseline,153.0590878725052,True
centroid_update,32,0.25,5234.687924385071,163.58399763703346,0.026719092592086935,4096,0,32768,128,baseline,153.0590878725052,True
decode_decoder_model_forward,128,1.0,19437972.442626953,151859.15970802307,99.21603598900208,0,0,32768,128,baseline,153.0590878725052,True
decode_lm_head,128,1.0,152638.4665966034,1192.488020285964,0.7791030489344611,0,0,32768,128,baseline,153.0590878725052,True
importance_update,4096,32.0,596964.0963077545,145.74318757513538,3.0470467760066353,134481920,0,32768,128,baseline,153.0590878725052,True
mixed_v_fused_attention,4096,32.0,5108055.0446510315,1247.0837511355057,26.07272824569395,0,0,32768,128,baseline,153.0590878725052,True
mixed_v_kernel_launches,8192,64.0,0.0,0.0,0.0,0,0,32768,128,baseline,153.0590878725052,True
mixed_v_layout_prepare_v2,4096,32.0,872068.5438811779,212.9073593459907,4.451245328697378,100224000,0,32768,128,baseline,153.0590878725052,True
mixed_v_layout_prepare_v4,4096,32.0,789441.5362775326,192.73475006775698,4.029497423443176,33408000,0,32768,128,baseline,153.0590878725052,True
mixed_v_mapping_prepare,4096,32.0,556984.9602431059,135.98265630935202,2.8429837537800573,133632000,0,32768,128,baseline,153.0590878725052,True
mixed_v_output_reduce,4096,32.0,20160.51191650331,4.921999979615066,0.10290404936875061,0,0,32768,128,baseline,153.0590878725052,True
mixed_v_v2_compute,4096,32.0,1525095.4312682152,372.3377517744666,7.784449928714916,100224000,0,32768,128,baseline,153.0590878725052,True
mixed_v_v4_compute,4096,32.0,749630.4569244385,183.015248272568,3.8262922026560746,33408000,0,32768,128,baseline,153.0590878725052,True
output_projection,4096,32.0,400067.5915032625,97.6727518318512,2.0420401702790323,0,0,32768,128,baseline,153.0590878725052,True
pack_k,32,0.25,10368.0000603199,324.0000018849969,0.05292073904080784,4096,0,32768,128,baseline,153.0590878725052,True
pack_total,32,0.25,52091.90392494202,1627.871997654438,0.2658894712299637,4096,0,32768,128,baseline,153.0590878725052,True
pack_v2,32,0.25,9848.831981420517,307.77599941939116,0.050270781646719616,3072,0,32768,128,baseline,153.0590878725052,True
pack_v4,32,0.25,9883.647948503494,308.8639983907342,0.050448490626053354,1024,0,32768,128,baseline,153.0590878725052,True
pack_window,32,0.25,279411.71073913574,8731.615960597992,1.4261838486636014,4096,0,32768,128,baseline,153.0590878725052,True
pattern_assignment,32,0.25,16015.360087156296,500.48000272363424,0.08174620822589165,4096,0,32768,128,baseline,153.0590878725052,True
qk_fp16_regions,12256,95.75,655086.7524398491,53.45028985312084,3.343718641325884,849920,0,32768,128,baseline,153.0590878725052,True
qk_quantized_history,4096,32.0,1419302.9111623764,346.50949979550205,7.244459736159134,0,0,32768,128,baseline,153.0590878725052,True
rope_position,4096,32.0,996157.4421972036,243.20250053642667,5.084624588674072,0,0,32768,128,baseline,153.0590878725052,True
selector_gain,32,0.25,41961.472034454346,1311.2960010766983,0.21418133664970268,4096,0,32768,128,baseline,153.0590878725052,True
selector_score,32,0.25,2355.2000746130943,73.6000023316592,0.012021501525111394,4096,0,32768,128,baseline,153.0590878725052,True
selector_topk,32,0.25,110124.03202056885,3441.3760006427765,0.5620992599128394,4096,0,32768,128,baseline,153.0590878725052,True
selector_total,32,0.25,160126.97458267212,5003.967955708504,0.8173261753455465,4096,0,32768,128,baseline,153.0590878725052,True
value_fp16_tail,12256,95.75,1284636.6684660316,104.81696054716315,6.557091193925592,849920,0,32768,128,baseline,153.0590878725052,True
attention_score_concat,4096,32.0,243910.66019516438,59.548501024210054,1.2871709992966662,134481920,0,32768,128,fixed_capacity,148.0418711900711,True
attention_softmax,4096,32.0,195486.72331497073,47.726250809319026,1.0316270752464238,134481920,0,32768,128,fixed_capacity,148.0418711900711,True
cache_append,4096,32.0,2713974.6873378754,662.5914764008485,14.322250235276135,0,0,32768,128,fixed_capacity,148.0418711900711,True
cache_cat_events,16384,128.0,0.0,0.0,0.0,0,3613917184,32768,128,fixed_capacity,148.0418711900711,True
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,9400320,32768,128,fixed_capacity,148.0418711900711,True
cache_mutation,16384,128.0,528112.8991153091,32.23345331514338,2.786969653363222,0,3613917184,32768,128,fixed_capacity,148.0418711900711,True
centroid_update,32,0.25,5655.551984906197,176.73599952831864,0.029845610249921644,4096,0,32768,128,fixed_capacity,148.0418711900711,True
decode_decoder_model_forward,128,1.0,18795804.718017578,146842.22435951233,99.18965707409997,0,0,32768,128,fixed_capacity,148.0418711900711,True
decode_lm_head,128,1.0,152596.4821577072,1192.1600168570876,0.805285698751046,0,0,32768,128,fixed_capacity,148.0418711900711,True
importance_update,4096,32.0,615766.0201340914,150.33350100929965,3.249534738804512,134481920,0,32768,128,fixed_capacity,148.0418711900711,True
mixed_v_fused_attention,4096,32.0,3956975.619316101,966.058500809595,20.88184361451139,0,0,32768,128,fixed_capacity,148.0418711900711,True
mixed_v_kernel_launches,8192,64.0,0.0,0.0,0.0,0,0,32768,128,fixed_capacity,148.0418711900711,True
mixed_v_layout_prepare_v2,4096,32.0,388237.18398064375,94.78446874527435,2.0488142817072172,100224000,0,32768,128,fixed_capacity,148.0418711900711,True
mixed_v_layout_prepare_v4,4096,32.0,312628.2283514738,76.32525106237154,1.6498089455111513,33408000,0,32768,128,fixed_capacity,148.0418711900711,True
mixed_v_mapping_prepare,4096,32.0,567671.903476119,138.59177330959938,2.995731349689008,133632000,0,32768,128,fixed_capacity,148.0418711900711,True
