kv_type,metric,task_left,task_right,bucket,overlap,set_size,intersection_size
v,relative_candidate_benefit,passage_retrieval_en,passage_retrieval_zh,top_10pct,0.4857142857142857,26,17
v,relative_candidate_benefit,passage_retrieval_en,passage_retrieval_zh,bottom_10pct,0.3684210526315789,26,14
v,relative_candidate_benefit,passage_retrieval_en,passage_retrieval_zh,top_25pct,0.5421686746987951,64,45
v,relative_candidate_benefit,passage_retrieval_en,passage_retrieval_zh,bottom_25pct,0.45454545454545453,64,40
v,relative_candidate_benefit,passage_retrieval_en,samsum,top_10pct,0.40540540540540543,26,15
v,relative_candidate_benefit,passage_retrieval_en,samsum,bottom_10pct,0.3684210526315789,26,14
v,relative_candidate_benefit,passage_retrieval_en,samsum,top_25pct,0.5421686746987951,64,45
v,relative_candidate_benefit,passage_retrieval_en,samsum,bottom_25pct,0.45454545454545453,64,40
v,relative_candidate_benefit,passage_retrieval_zh,samsum,top_10pct,0.625,26,20
v,relative_candidate_benefit,passage_retrieval_zh,samsum,bottom_10pct,0.6774193548387096,26,21
v,relative_candidate_benefit,passage_retrieval_zh,samsum,top_25pct,0.8823529411764706,64,60
v,relative_candidate_benefit,passage_retrieval_zh,samsum,bottom_25pct,0.8028169014084507,64,57
