label,context_tokens,bit,mode,round,median_us,mean_us,p90_us,round_cv,stability
post_histogram,32768,4,LANE0_TABLE_FULL,4,110.59200018644333,110.54080005735159,111.61600053310394,,
post_histogram,8192,2,FULL,summary,115.7120019197464,115.7120019197464,115.7120019197464,0.0,STABLE
post_histogram,8192,2,RESIDUAL_ONLY,summary,91.13600105047226,91.75040125846863,93.18400174379349,0.009982449570617604,STABLE
post_histogram,8192,2,NO_TABLE_CONTRIBUTION,summary,92.16000139713287,92.364801466465,95.23200243711472,0.01821694238024525,STABLE
post_histogram,8192,2,LANE0_TABLE_FULL,summary,92.16000139713287,93.59360188245773,97.28000313043594,0.03152049207378921,STABLE
post_histogram,16384,2,FULL,summary,225.2800017595291,225.07520020008087,225.2800017595291,0.0020346542329725287,STABLE
post_histogram,16384,2,RESIDUAL_ONLY,summary,102.39999741315842,102.39999741315842,102.39999741315842,0.0,STABLE
post_histogram,16384,2,NO_TABLE_CONTRIBUTION,summary,150.52799880504608,150.52799880504608,150.52799880504608,0.0,STABLE
post_histogram,16384,2,LANE0_TABLE_FULL,summary,159.743994474411,159.743994474411,159.743994474411,0.0,STABLE
post_histogram,16384,4,FULL,summary,91.13600105047226,92.05760136246681,95.23200243711472,0.01942631240308353,STABLE
post_histogram,16384,4,RESIDUAL_ONLY,summary,81.91999793052673,82.5343981385231,86.01599931716919,0.024185602640883788,STABLE
post_histogram,16384,4,NO_TABLE_CONTRIBUTION,summary,91.13600105047226,91.64800122380257,92.67200157046318,0.007900636995813065,STABLE
post_histogram,16384,4,LANE0_TABLE_FULL,summary,91.13600105047226,91.75040125846863,95.23200243711472,0.021756244443656564,STABLE
post_histogram,32768,2,FULL,summary,448.5119879245758,448.5119879245758,448.5119879245758,0.0,STABLE
post_histogram,32768,2,RESIDUAL_ONLY,summary,195.5839991569519,195.9936022758484,196.60800695419312,0.0028616861116762173,STABLE
post_histogram,32768,2,NO_TABLE_CONTRIBUTION,summary,295.9359884262085,295.9359884262085,295.9359884262085,0.0,STABLE
post_histogram,32768,2,LANE0_TABLE_FULL,summary,307.20001459121704,307.20001459121704,307.20001459121704,0.0,STABLE
post_histogram,32768,4,FULL,summary,164.86400365829468,164.86400365829468,164.86400365829468,0.0,STABLE
post_histogram,32768,4,RESIDUAL_ONLY,summary,95.23200243711472,94.51520219445229,97.28000313043594,0.029071315483056318,STABLE
post_histogram,32768,4,NO_TABLE_CONTRIBUTION,summary,104.44799810647964,104.44799810647964,104.44799810647964,0.0,STABLE
post_histogram,32768,4,LANE0_TABLE_FULL,summary,110.59200018644333,110.59200018644333,110.59200018644333,0.0,STABLE
