task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std,min,max
dureader,decode,k,11,7,bucketfirst,relative_mse_gain,11,0.012043075843191763,0.01194722566900426,,
dureader,decode,k,11,7,bucketfirst,relative_range_gain,11,0.07465636320778436,0.03227662922117965,,
dureader,decode,k,12,0,bucketfirst,relative_mse_gain,11,0.027649285109730717,0.04198294036684967,,
dureader,decode,k,12,0,bucketfirst,relative_range_gain,11,0.10530238232216607,0.06065980748324006,,
dureader,decode,k,12,1,bucketfirst,relative_mse_gain,11,-0.0009186720406261819,0.014225730758656137,,
dureader,decode,k,12,1,bucketfirst,relative_range_gain,11,0.05756028738151089,0.04421301536186087,,
dureader,decode,k,12,2,bucketfirst,relative_mse_gain,11,-0.00640375434724058,0.030399271805302233,,
dureader,decode,k,12,2,bucketfirst,relative_range_gain,11,0.013360890832991064,0.05963623305412632,,
dureader,decode,k,12,3,bucketfirst,relative_mse_gain,11,0.012015065431390765,0.021069980020647774,,
dureader,decode,k,12,3,bucketfirst,relative_range_gain,11,0.12095655624817736,0.07069880510661797,,
dureader,decode,k,12,4,bucketfirst,relative_mse_gain,11,-0.018390607016635478,0.019915708179177094,,
dureader,decode,k,12,4,bucketfirst,relative_range_gain,11,0.06521011144988567,0.039264057276996556,,
dureader,decode,k,12,5,bucketfirst,relative_mse_gain,11,-0.015953989738143357,0.023898687036523574,,
dureader,decode,k,12,5,bucketfirst,relative_range_gain,11,0.033269852710543966,0.03726119430587008,,
dureader,decode,k,12,6,bucketfirst,relative_mse_gain,11,0.008731815625468813,0.02006347687783001,,
dureader,decode,k,12,6,bucketfirst,relative_range_gain,11,0.11295580373424179,0.05543373717425279,,
dureader,decode,k,12,7,bucketfirst,relative_mse_gain,11,0.005231497437439087,0.023778464887477865,,
dureader,decode,k,12,7,bucketfirst,relative_range_gain,11,0.11831797679553581,0.052985728065581106,,
dureader,decode,k,13,0,bucketfirst,relative_mse_gain,11,-0.014956558584582714,0.01465617177464418,,
dureader,decode,k,13,0,bucketfirst,relative_range_gain,11,0.014707211950993181,0.04320758054852769,,
dureader,decode,k,13,1,bucketfirst,relative_mse_gain,11,0.0008011852307369415,0.02665040855736504,,
dureader,decode,k,13,1,bucketfirst,relative_range_gain,11,0.04827024601529725,0.037420007811407904,,
